"scenario","delta1","delta2","seed","method","silhouette","ari","alpha","omega","r"
"S1",1,1,34,"A",0.155232630569404,0.824101166436728,NA,NA,NA
"S1",1,1,34,"B_silopt",0.34673609914019,0.884954823572463,1,1,NA
"S1",1,1,34,"C_DK_ancien",0.175904917765898,0.950737960401681,1,NA,NA
"S1",1,1,34,"DK_reconstruit",0.158174583018414,0.970150844236487,NA,NA,6.89004345456261
"S1",1,1,35,"D0",0.291688054019534,0.68667222934042,NA,NA,NA
"S1",1,1,35,"D1",0.348224590946528,0.778502007133939,NA,NA,NA
"S1",1,1,35,"Df_silopt",0.348224590946528,0.778502007133939,1,NA,NA
"S1",1,1,35,"Ds",0.137885054144342,0.461907380517578,NA,NA,NA
"S1",1,1,35,"A",0.163063081080471,0.824556470455399,NA,NA,NA
"S1",1,1,35,"B_silopt",0.348224590946528,0.778502007133939,1,1,NA
"S1",1,1,35,"C_DK_ancien",0.17697436608568,0.940413504853892,1,NA,NA
"S1",1,1,35,"DK_reconstruit",0.156045020840184,0.856723084611095,NA,NA,6.80555327468648
"S1",1,1,36,"D0",0.309101603213201,0.865708432021742,NA,NA,NA
"S1",1,1,36,"D1",0.355236203527475,0.912605273639526,NA,NA,NA
"S1",1,1,36,"Df_silopt",0.355236203527475,0.912605273639526,1,NA,NA
"S1",1,1,36,"Ds",0.135550241118385,0.562290002177445,NA,NA,NA
"S1",1,1,36,"A",0.164286337254624,0.833343686340579,NA,NA,NA
"S1",1,1,36,"B_silopt",0.355236203527475,0.912605273639526,1,1,NA
"S1",1,1,36,"C_DK_ancien",0.183137210884418,1,1,NA,NA
"S1",1,1,36,"DK_reconstruit",0.172778258079078,0.980068022309594,NA,NA,6.49130364930989
"S1",1,1,37,"D0",0.276499037685183,0.784735554202555,NA,NA,NA
"S1",1,1,37,"D1",0.348820869954414,0.912166938285808,NA,NA,NA
"S1",1,1,37,"Df_silopt",0.348820869954414,0.912166938285808,1,NA,NA
"S1",1,1,37,"Ds",0.139889630207203,0.612552600003309,NA,NA,NA
"S1",1,1,37,"A",0.164365723422103,0.716073460757018,NA,NA,NA
"S1",1,1,37,"B_silopt",0.348820869954414,0.912166938285808,1,1,NA
"S1",1,1,37,"C_DK_ancien",0.17061087668447,0.856598055688405,1,NA,NA
"S1",1,1,37,"DK_reconstruit",0.150964434137046,0.822080266131642,NA,NA,6.88681007396056
"S1",1,1,38,"D0",0.29413908410106,0.844617978644511,NA,NA,NA
"S1",1,1,38,"D1",0.361235377836163,0.960385690411661,NA,NA,NA
"S1",1,1,38,"Df_silopt",0.361235377836163,0.960385690411661,1,NA,NA
"S1",1,1,38,"Ds",0.156395764887874,0.519157799614287,NA,NA,NA
"S1",1,1,38,"A",0.164265366138482,0.715124973923732,NA,NA,NA
"S1",1,1,38,"B_silopt",0.361235377836163,0.960385690411661,1,1,NA
"S1",1,1,38,"C_DK_ancien",0.18181306932202,0.970151859257011,0.8,NA,NA
"S1",1,1,38,"DK_reconstruit",0.171707920082199,0.980068022309594,NA,NA,6.64415739525384
"S1",1,1,39,"D0",0.30669489927749,0.83880717949046,NA,NA,NA
"S1",1,1,39,"D1",0.362914999264996,0.903171945387574,NA,NA,NA
"S1",1,1,39,"Df_silopt",0.362914999264996,0.903171945387574,1,NA,NA
"S1",1,1,39,"Ds",0.14656384014987,0.592887530316893,NA,NA,NA
"S1",1,1,39,"A",0.166977513608198,0.884830785978458,NA,NA,NA
"S1",1,1,39,"B_silopt",0.362914999264996,0.903171945387574,1,1,NA
"S1",1,1,39,"C_DK_ancien",0.184690812883331,0.960538710835155,1,NA,NA
"S1",1,1,39,"DK_reconstruit",0.166834724308694,0.90441877665456,NA,NA,6.91753486251815
"S1",1,1,40,"D0",0.294011340633843,0.8482154819589,NA,NA,NA
"S1",1,1,40,"D1",0.36095896929129,0.931696581807359,NA,NA,NA
"S1",1,1,40,"Df_silopt",0.36095896929129,0.931696581807359,1,NA,NA
"S1",1,1,40,"Ds",0.135112569624588,0.68406220416837,NA,NA,NA
"S1",1,1,40,"A",0.160300346365547,0.717130953211073,NA,NA,NA
"S1",1,1,40,"B_silopt",0.36095896929129,0.931696581807359,1,1,NA
"S1",1,1,40,"C_DK_ancien",0.174951107035115,0.931996274137426,1,NA,NA
"S1",1,1,40,"DK_reconstruit",0.154782784167556,0.868958882566628,NA,NA,7.03071541196195
"S1",1,1,41,"D0",0.30024003052356,0.749409745860911,NA,NA,NA
"S1",1,1,41,"D1",0.353569030695381,0.875356261167478,NA,NA,NA
"S1",1,1,41,"Df_silopt",0.353569030695381,0.875356261167478,1,NA,NA
"S1",1,1,41,"Ds",0.126878974093519,0.416331058279282,NA,NA,NA
